f_trait_id	f_trait_code	f_trait_name	f_sample_id	f_label	f_sample_name	f_kl_score
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_1	GSE129785_TME-All	Basal cell carcinoma (BCC)_skin	0.01011423311512029
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_2	GSE139369	Healthy blood PBMC_1	0.02080778653954026
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_3	GSE139369_Healthy	Healthy blood PBMC_2	0.01948027020773148
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_4	GSE139369_MPAL_Healthy	Mixed-phenotype acute leukemia(MPAL)	0.013052727806778281
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_5	GSE149683_Adrenal	Adrenal gland_Fetal period	0.16699962892370768
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_6	GSE149683_Cerebellum	Cerebellum_Fetal period	0.05517353293783231
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_7	GSE149683_Cerebrum	Cerebrum_Fetal period	0.15306978946858174
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_8	GSE149683_Eye	Eye_Fetal period	0.20992492467368445
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_9	GSE149683_Heart	Heart_Fetal period	0.5268033555853643
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_10	GSE149683_Intestine	Intestine_Fetal period	0.09831636490097637
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_11	GSE149683_Kidney	Kidney_Fetal period	0.11153910084834281
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_12	GSE149683_Liver	Liver_Fetal period	0.25998773429290545
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_13	GSE149683_Lung	Lung_Fetal period	0.23565024500688497
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_14	GSE149683_Muscle	Muscle_Fetal period	0.4122072959251754
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_15	GSE149683_Pancreas	Pancreas_Fetal period	0.13974512573205358
